First Aurthor,Year,Title,Type
Choi Y,2018,StarGAN: Unified generative adversarial networks for multi-domain image-to-image translation,Conference
Arbel M,2018,On gradient regularizers for MMD GANs,Conference
Zhang H,2018,Self-attention generative adversarial networks,Conference
Xu T,2018,AttnGAN: Fine-grained text to image generation with attentional generative adversarial networks,Conference
Sankaranarayanan S,2018,Generate to adapt: Aligning domains using generative adversarial networks,Conference
Gupta A,2018,Social GAN: Socially acceptable trajectories with generative adversarial networks,Conference
Lin Z,2018,PacGAN: The power of two samples in generative adversarial networks,Conference
Song J,2018,Binary generative adversarial networks for image retrieval,Conference
Kupyn O,2018,DeblurGAN: Blind motion deblurring using conditional adversarial networks,Conference
Wang H,2018,GraphGAN: Graph representation learning with generative adversarial nets,Conference
Wang X ,2018,ESRGAN: Enhanced super-resolution generative adversarial networks,Conference
Chuquicusma M,2018,How to fool radiologists with generative adversarial networks? A visual turing test for lung cancer diagnosis,Conference
Lin C,2018,ST-GAN: Spatial transformer generative adversarial networks for image compositing,Conference
Zhang Z,2018,Translating and segmenting multimodal medical volumes with cycle-and shape-consistency generative adversarial network,Conference
Xiong W ,2018,Learning to generate time-lapse videos using multi-stage dynamic generative adversarial networks,Conference
Xiao C ,2018,Generating adversarial examples with adversarial networks,Conference
Ma C,2018,DA-GAN: Instance-level image translation by deep attention generative adversarial networks,Conference
Karras T ,2018,"Progressive growing of GANs for improved quality, stability, and variation",Conference
Wang J,2018,Stacked conditional generative adversarial networks for jointly learning shadow detection and shadow removal,Conference
Jaiswal A ,2018,CapsuleGAN: Generative adversarial capsule network,Conference
Gidel G,2018,A variational inequality perspective on generative adversarial networks,Conference
Qian R ,2018,Attentive generative adversarial network for raindrop removal from a single image,Conference
Zhang H,2018,Multi-style generative network for real-time transfer,Conference
Fabbri C ,2018,Enhancing underwater imagery using generative adversarial networks,Conference
Dolhansky B,2018,Eye in-painting with exemplar generative adversarial networks,Conference
Emami H,2018,Generating synthetic CTs from magnetic resonance images using generative adversarial networks,Conference
Yu J,2018,Generative image inpainting with contextual attention,Conference
Yazdanbakhsh A,2018,GANAX: a unified MIMD-SIMD acceleration for generative adversarial networks,Conference
Laloy E,2018,Training_image based geostatistical inversion using a spatial generative adversarial neural network,Conference
Ulyanov D ,2018,It takes (only) two: Adversarial generator-encoder networks,Conference
Wu Y,2018,Incremental classifier learning with generative adversarial networks,Conference
Jin D,2018,CT-realistic lung nodule simulation from 3D conditional generative adversarial networks for robust lung segmentation,Conference
Dai Q,2018,Adversarial network embedding,Conference
Madani A,2018,Semi-supervised learning with generative adversarial networks for chest X-ray classification with ability of data domain adaptation,Conference
Dupont E,2018,Generating realistic geology conditioned on physical measurements with generative adversarial networks,Conference
Bai Y,2018,Finding tiny faces in the wild with generative adversarial network,Conference
Liang T,2018,Interaction matters: A note on non-asymptotic local convergence of generative adversarial networks,Conference
Volz V ,2018,Evolving mario levels in the latent space of a deep convolutional generative adversarial network,Conference
Zhang T,2018,TV-GAN: Generative adversarial network based thermal to visible face recognition,Conference
Yuan Y,2018,Unsupervised image super-resolution using cycle-in-cycle generative adversarial networks,Conference
